
SET IDENTITY_INSERT [dbo].[Building] ON 

INSERT [dbo].[Building] ([BuildingID], [BuildingName], [BuildingDescription], [BuildingPicture], [BuildingCode]) VALUES (1, N'An Lạc', N'Nằm giữa một khu vườn yên tĩnh với những hàng cây xanh mát, An Lạc mang đến một không gian thanh bình và ấm cúng. Thiết kế kiến trúc hiện đại với những đường nét đơn giản, kết hợp hài hòa với thiên nhiên xung quanh.', N'https://i.ibb.co/JrqjRCn/Screenshot-2024-06-19-134117.png', 'AL')
INSERT [dbo].[Building] ([BuildingID], [BuildingName], [BuildingDescription], [BuildingPicture],[BuildingCode]) VALUES (2, N'An Viên', N'An Viên mang đậm nét kiến trúc truyền thống với những mái ngói cong và những chi tiết chạm khắc tinh xảo. Không gian bên trong được bài trí trang trọng và ấm cúng, gợi nhớ về những giá trị văn hóa sâu sắc.', N'https://i.ibb.co/JrqjRCn/Screenshot-2024-06-19-134117.png', 'AV')
SET IDENTITY_INSERT [dbo].[Building] OFF


INSERT INTO [dbo].[Floor] (BuildingID, FloorName, FloorDescription, FloorCode)
VALUES 
-- An Lạc Building (ID 1)
(1, N'Tầng 1', N'Mô tả tầng 1' , N'AL-F1'),
(1, N'Tầng 2', N'Mô tả tầng 2' , N'AL-F2'),
(1, N'Tầng 3', N'Mô tả tầng 3' , N'AL-F3'),
(1, N'Tầng 4', N'Mô tả tầng 4' , N'AL-F4'),
(1, N'Tầng 5', N'Mô tả tầng 5' , N'AL-F5'),
(1, N'Tầng 6', N'Mô tả tầng 6' , N'AL-F6'),
(1, N'Tầng 7', N'Mô tả tầng 7' , N'AL-F7'),
-- An Viên Building (ID 2)
(2, N'Tầng 1', N'Mô tả tầng 1' , N'AV-F1'),
(2, N'Tầng 2', N'Mô tả tầng 2' , N'AV-F2'),
(2, N'Tầng 3', N'Mô tả tầng 3' , N'AV-F3'),
(2, N'Tầng 4', N'Mô tả tầng 4' , N'AV-F4'),
(2, N'Tầng 5', N'Mô tả tầng 5' , N'AV-F5'),
(2, N'Tầng 6', N'Mô tả tầng 6' , N'AV-F6'),
(2, N'Tầng 7', N'Mô tả tầng 7' , N'AV-F7');

INSERT INTO [dbo].[Area] (FloorID, AreaName,AreaDescription, AreaCode)
VALUES 
-- An Lạc Building
(1, N'Khu 1', N'Mô tả khu 1' , N'AL-F1-A1'),
(1, N'Khu 2', N'Mô tả khu 2' , N'AL-F1-A2'),
(1, N'Khu 3', N'Mô tả khu 3' , N'AL-F1-A3'),
(1, N'Khu 4', N'Mô tả khu 4' , N'AL-F1-A4'),
(1, N'Khu 5', N'Mô tả khu 5' , N'AL-F1-A5'),
(1, N'Khu 6', N'Mô tả khu 6' , N'AL-F1-A6'),
(1, N'Khu 7', N'Mô tả khu 7' , N'AL-F1-A7'),
(1, N'Khu 8', N'Mô tả khu 8' , N'AL-F1-A8'),
(2, N'Khu 1', N'Mô tả khu 1' , N'AL-F2-A1'),
(2, N'Khu 2', N'Mô tả khu 2' , N'AL-F2-A2'),
(2, N'Khu 3', N'Mô tả khu 3' , N'AL-F2-A3'),
(2, N'Khu 4', N'Mô tả khu 4' , N'AL-F2-A4'),
(2, N'Khu 5', N'Mô tả khu 5' , N'AL-F2-A5'),
(2, N'Khu 6', N'Mô tả khu 6' , N'AL-F2-A6'),
(2, N'Khu 7', N'Mô tả khu 7' , N'AL-F2-A7'),
(2, N'Khu 8', N'Mô tả khu 8' , N'AL-F2-A8'),
(3, N'Khu 1', N'Mô tả khu 1' , N'AL-F3-A1'),
(3, N'Khu 2', N'Mô tả khu 2' , N'AL-F3-A2'),
(3, N'Khu 3', N'Mô tả khu 3' , N'AL-F3-A3'),
(3, N'Khu 4', N'Mô tả khu 4' , N'AL-F3-A4'),
(3, N'Khu 5', N'Mô tả khu 5' , N'AL-F3-A5'),
(3, N'Khu 6', N'Mô tả khu 6' , N'AL-F3-A6'),
(3, N'Khu 7', N'Mô tả khu 7' , N'AL-F3-A7'),
(3, N'Khu 8', N'Mô tả khu 8' , N'AL-F3-A8'),
(4, N'Khu 1', N'Mô tả khu 1' , N'AL-F4-A1'),
(4, N'Khu 2', N'Mô tả khu 2' , N'AL-F4-A2'),
(4, N'Khu 3', N'Mô tả khu 3' , N'AL-F4-A3'),
(4, N'Khu 4', N'Mô tả khu 4' , N'AL-F4-A4'),
(4, N'Khu 5', N'Mô tả khu 5' , N'AL-F4-A5'),
(4, N'Khu 6', N'Mô tả khu 6' , N'AL-F4-A6'),
(4, N'Khu 7', N'Mô tả khu 7' , N'AL-F4-A7'),
(4, N'Khu 8', N'Mô tả khu 8' , N'AL-F4-A8'),
(5, N'Khu 1', N'Mô tả khu 1'  ,N'AL-F5-A1'),
(5, N'Khu 2', N'Mô tả khu 2' , N'AL-F5-A2'),
(5, N'Khu 3', N'Mô tả khu 3' , N'AL-F5-A3'),
(5, N'Khu 4', N'Mô tả khu 4' , N'AL-F5-A4'),
(5, N'Khu 5', N'Mô tả khu 5 , N'AL-F5-A5'),
(5, N'Khu 6', N'Mô tả khu 6' , N'AL-F5-A6'),
(5, N'Khu 7', N'Mô tả khu 7' , N'AL-F5-A7'),
(5, N'Khu 8', N'Mô tả khu 8' , N'AL-F5-A8'),
(6, N'Khu 1', N'Mô tả khu 1' , N'AL-F6-A1'),
(6, N'Khu 2', N'Mô tả khu 2' , N'AL-F6-A2'),
(6, N'Khu 3', N'Mô tả khu 3' , N'AL-F6-A3'),
(6, N'Khu 4', N'Mô tả khu 4' , N'AL-F6-A4'),
(6, N'Khu 5', N'Mô tả khu 5' , N'AL-F6-A5'),
(6, N'Khu 6', N'Mô tả khu 6' , N'AL-F6-A6'),
(6, N'Khu 7', N'Mô tả khu 7' , N'AL-F6-A7'),
(6, N'Khu 8', N'Mô tả khu 8' , N'AL-F6-A8'),
(7, N'Khu 1', N'Mô tả khu 1',  N'AL-F7-A1'),
(7, N'Khu 2', N'Mô tả khu 2' , N'AL-F7-A2'),
(7, N'Khu 3', N'Mô tả khu 3' , N'AL-F7-A3'),
(7, N'Khu 4', N'Mô tả khu 4' , N'AL-F7-A4'),
(7, N'Khu 5', N'Mô tả khu 5' , N'AL-F7-A5'),
(7, N'Khu 6', N'Mô tả khu 6' , N'AL-F7-A6'),
(7, N'Khu 7', N'Mô tả khu 7' , N'AL-F7-A7'),
(7, N'Khu 8', N'Mô tả khu 8' ,  N'AL-F7-A8'),

-- An Viên Building
(8, N'Khu 1', N'Mô tả khu 1' , N'AV-F1-A1'),
(8, N'Khu 2', N'Mô tả khu 2' , N'AV-F1-A2'),
(8, N'Khu 3', N'Mô tả khu 3' , N'AV-F1-A3'),
(8, N'Khu 4', N'Mô tả khu 4' , N'AV-F1-A4'),
(8, N'Khu 5', N'Mô tả khu 5' , N'AV-F1-A5'),
(8, N'Khu 6', N'Mô tả khu 6' , N'AV-F1-A6'),
(8, N'Khu 7', N'Mô tả khu 7' , N'AV-F1-A7'),
(8, N'Khu 8', N'Mô tả khu 8' , N'AV-F1-A8'),
(9, N'Khu 1', N'Mô tả khu 1' , N'AV-F2-A1'),
(9, N'Khu 2', N'Mô tả khu 2' , N'AV-F2-A2'),
(9, N'Khu 3', N'Mô tả khu 3' , N'AV-F2-A3'),
(9, N'Khu 4', N'Mô tả khu 4' , N'AV-F2-A4'),
(9, N'Khu 5', N'Mô tả khu 5' , N'AV-F2-A5'),
(9, N'Khu 6', N'Mô tả khu 6' , N'AV-F2-A6'),
(9, N'Khu 7', N'Mô tả khu 7' , N'AV-F2-A7'),
(9, N'Khu 8', N'Mô tả khu 8' , N'AV-F2-A8'),
(10, N'Khu 1', N'Mô tả khu 1' , N'AV-F3-A1'),
(10, N'Khu 2', N'Mô tả khu 2' , N'AV-F3-A2'),
(10, N'Khu 3', N'Mô tả khu 3' , N'AV-F3-A3'),
(10, N'Khu 4', N'Mô tả khu 4' , N'AV-F3-A4'),
(10, N'Khu 5', N'Mô tả khu 5' , N'AV-F3-A5'),
(10, N'Khu 6', N'Mô tả khu 6' , N'AV-F3-A6'),
(10, N'Khu 7', N'Mô tả khu 7' , N'AV-F3-A7'),
(10, N'Khu 8', N'Mô tả khu 8' , N'AV-F3-A8'),
(11, N'Khu 1', N'Mô tả khu 1' , N'AV-F4-A1'),
(11, N'Khu 2', N'Mô tả khu 2' , N'AV-F4-A2'),
(11, N'Khu 3', N'Mô tả khu 3' , N'AV-F4-A3'),
(11, N'Khu 4', N'Mô tả khu 4' , N'AV-F4-A4'),
(11, N'Khu 5', N'Mô tả khu 5' , N'AV-F4-A5'),
(11, N'Khu 6', N'Mô tả khu 6' , N'AV-F4-A6'),
(11, N'Khu 7', N'Mô tả khu 7' , N'AV-F4-A7'),
(11, N'Khu 8', N'Mô tả khu 8' , N'AV-F4-A8'),
(12, N'Khu 1', N'Mô tả khu 1' , N'AV-F5-A1'),
(12, N'Khu 2', N'Mô tả khu 2' , N'AV-F5-A2'),
(12, N'Khu 3', N'Mô tả khu 3' , N'AV-F5-A3'),
(12, N'Khu 4', N'Mô tả khu 4' , N'AV-F5-A4'),
(12, N'Khu 5', N'Mô tả khu 5' , N'AV-F5-A5'),
(12, N'Khu 6', N'Mô tả khu 6' , N'AV-F5-A6'),
(12, N'Khu 7', N'Mô tả khu 7' , N'AV-F5-A7'),
(12, N'Khu 8', N'Mô tả khu 8' , N'AV-F5-A8'),
(13, N'Khu 1', N'Mô tả khu 1' , N'AV-F6-A1'),
(13, N'Khu 2', N'Mô tả khu 2' , N'AV-F6-A2'),
(13, N'Khu 3', N'Mô tả khu 3' , N'AV-F6-A3'),
(13, N'Khu 4', N'Mô tả khu 4' , N'AV-F6-A4'),
(13, N'Khu 5', N'Mô tả khu 5' , N'AV-F6-A5'),
(13, N'Khu 6', N'Mô tả khu 6' , N'AV-F6-A6'),
(13, N'Khu 7', N'Mô tả khu 7' , N'AV-F6-A7'),
(13, N'Khu 8', N'Mô tả khu 8' , N'AV-F6-A8'),
